,Game,Release date,Company,Genres,Mean Note,Number of Vote,store
805,Fern Flower,2017-12-28,,Unknow,4.4,8939,google
806,Super Senso,2016-11-07,,"Strategy, Turn-based strategy (TBS)",3.7,3397,google
811,The Wolf Among Us,2013-10-11,,"Adventure, Point-and-click",4.5,226870,google
817,Ava Airborne,2018-03-02,,"Adventure, Indie",4.2,845,google
818,DomiNations,2015-04-01,,"Real Time Strategy (RTS), Strategy",4.1,742904,google
824,Fantasy: Battle Simulator,2017-07-04,,"Simulator, Strategy",3.9,884,google
829,Bounden,2014-05-12,,Music,3.9,439,google
830,Lara Croft GO,2015-08-27,Square Enix,"Adventure, Puzzle, Turn-based strategy (TBS)",4.7,90466,google
835,Monument Valley 2,2017-05-30,,"Adventure, Indie, Puzzle",4.8,48829,google
836,Battleheart,2011-02-01,,"Role-playing (RPG), Strategy",4.5,22736,google
841,Magibot,2017-12-18,,"Adventure, Indie, Strategy",4.4,51,google
843,Magnifico,2014-03-07,,"Quiz/Trivia, Strategy",3.3,231,google
847,Speed Builder,2020-04-15,,"Arcade, Indie, Platform",4.7,10,google
848,Lifeline: Crisis Line,2016-08-30,,"Adventure, Indie",4.3,920,google
850,Chef Wars,2017-11-06,,Role-playing (RPG),4.3,2928,google
856,Concrete Jungle,2015-09-23,,"Indie, Puzzle, Strategy, Turn-based strategy (TBS)",4.5,157,google
862,SpongeBob Marbles & Slides,2010-10-07,,Puzzle,3.1,182,google
864,Cyber Hunter,2018-05-17,NetEase,"Adventure, Fighting",4.1,421547,google
866,Alfasnake,2018-08-31,,"Arcade, Indie",4.7,32,google
870,Real Boxing,2012-11-14,,"Fighting, Sport",4.2,504364,google
871,Citytopia,2019-01-31,,Simulator,3.7,15408,google
872,Destiny Child,2016-11-27,,Role-playing (RPG),4.6,125659,google
879,Fruit Ninja,2010-04-21,,"Arcade, Platform",4.4,5250246,google
880,Merge Chicken,2019-03-20,,Simulator,5.0,7,google
883,Black Rims Wanted,2018-12-12,,"Fighting, Hack and slash/Beat 'em up, Indie, Racing",3.9,285,google
891,Kingdom Rush Origins,2014-11-07,,"Indie, Real Time Strategy (RTS), Strategy",4.8,111236,google
893,inbento,2019-09-03,,"Indie, Puzzle",4.6,292,google
895,Illusion of L'Phalcia,2014-10-08,,"Adventure, Role-playing (RPG), Strategy",4.5,1175,google
900,The Talos Principle,2014-12-11,,"Adventure, Indie, Puzzle",3.6,326,google
905,Final Blade,2017-02-07,,Role-playing (RPG),4.0,13663,google
908,Flip the Gun - Simulator Game,2018-03-21,,Arcade,3.7,242122,google
921,Score! Match,2018-03-07,,Sport,4.2,611000,google
930,Galactic Warrior,2017-05-06,,"Hack and slash/Beat 'em up, Indie, Role-playing (RPG)",4.5,3061,google
933,Night of the Full Moon,2017-11-26,,"Adventure, Indie, Strategy, Turn-based strategy (TBS)",4.3,38237,google
934,Marvel Strike Force,2018-01-01,,Role-playing (RPG),4.3,414289,google
941,The Banner Saga,2014-01-14,,"Indie, Role-playing (RPG), Strategy, Tactical",4.3,9403,google
952,Boxing Star,2017-12-27,,Fighting,4.4,627964,google
955,Space Armor 2,2017-01-28,,"Adventure, Indie, Role-playing (RPG)",3.5,15763,google
962,Lichtspeer,2016-09-27,,"Adventure, Arcade, Indie, Sport",4.3,737,google
975,Dragon Quest II: Luminaries of the Legendary Line,1987-01-26,Square Enix,"Adventure, Role-playing (RPG)",4.4,2933,google
983,Spaceplan,2016-08-31,,"Adventure, Indie, Simulator",4.4,2324,google
984,Solar 2,2011-06-17,,"Arcade, Indie",4.3,3805,google
995,Blackbar,2013-08-22,,Unknow,3.9,495,google
1013,Projectile Fighter,2018-09-12,,Fighting,3.4,67,google
1015,Castlevania: Symphony of the Night,1997-03-20,Konami,"Adventure, Platform, Role-playing (RPG)",4.4,6411,google
1021,Black Blue,2017-02-28,,Puzzle,3.3,1116,google
1024,Chameleon Run,2016-04-06,,"Arcade, Platform, Racing",4.5,11804,google
1028,Garou: Mark of the Wolves,1999-01-26,,"Arcade, Fighting",4.7,2969,google
1032,Onmyoji,2018-04-18,NetEase,"Adventure, Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.1,15320,google
1038,Shadow Fight 2,2014-05-01,,"Fighting, Role-playing (RPG)",4.6,12937083,google
1039,Angry Birds: POP!,2015-03-12,,"Arcade, Puzzle",4.5,654017,google
1044,The Wayhaven Chronicles: Book Two,2020-05-07,,"Adventure, Indie, Role-playing (RPG)",4.9,589,google
1045,EvoCreo,2015-07-08,,"Adventure, Role-playing (RPG)",4.2,28506,google
1060,Mordheim: Warband Skirmish,2017-05-26,,Turn-based strategy (TBS),3.8,6550,google
1064,Reigns: Game of Thrones,2018-10-18,,"Adventure, Indie, Role-playing (RPG), Strategy, Tactical",4.5,14738,google
1069,Evertale,2019-02-28,,Role-playing (RPG),4.6,218516,google
1074,Tiny Dragons,2018-02-15,,Puzzle,4.6,11025,google
1085,Evoland 2,2015-08-25,,"Adventure, Fighting, Hack and slash/Beat 'em up, Indie, Music, Platform, Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.2,7731,google
1090,Heroes Evolved,2017-01-23,,"Real Time Strategy (RTS), Role-playing (RPG), Strategy, Tactical",3.8,514794,google
1093,Hearthstone,2014-03-11,,"Strategy, Turn-based strategy (TBS)",4.0,1689954,google
1095,Hoplite,2013-12-21,,"Indie, Strategy",4.5,37540,google
1101,Frontier Wars: Defense Heroes,2019-03-03,,"Strategy, Tactical, Turn-based strategy (TBS)",4.2,5609,google
1108,Bendy in Nightmare Run,2018-08-15,,Unknow,4.3,63048,google
1110,LifeAfter,2018-11-08,NetEase,"Role-playing (RPG), Shooter",4.1,309896,google
1113,Real Pool 3D,2012-03-31,,"Indie, Sport",4.4,31569,google
1119,"Warhammer 40,000: Space Wolf",2014-10-28,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.0,94194,google
1125,Armajet,2019-10-08,,"Platform, Shooter",4.0,12460,google
1126,Life is Strange,2015-01-30,Square Enix,"Adventure, Role-playing (RPG)",4.3,57330,google
1127,Major Mayhem 2,2018-04-22,,Arcade,4.4,101620,google
1134,Hello Cats!,2018-09-12,,Puzzle,4.3,214033,google
1146,Scribblenauts Unlimited,2012-11-13,Warner Bros,"Adventure, Platform, Puzzle, Sport, Strategy",4.1,16120,google
1148,Super Phantom Cat,2016-02-19,,"Adventure, Indie, Platform, Role-playing (RPG)",4.3,71837,google
1151,Mythical,2019-01-23,,Unknow,3.6,16,google
1156,Apollo Justice: Ace Attorney,2007-04-12,,"Adventure, Visual Novel",4.7,543,google
1164,Legends of Runeterra,2020-04-30,,"Card & Board Game, Strategy, Turn-based strategy (TBS)",4.6,243968,google
1167,Shift Em Mania,2017-03-14,,"Puzzle, Tactical",4.0,23,google
1175,GUNDAM BATTLE: GUNPLA WARFARE,2019-09-21,Bandai Namco,Shooter,3.7,32324,google
1179,IMVU,2004-01-01,,Unknow,4.0,395060,google
1186,Iron Marines,2017-09-14,,"Indie, Real Time Strategy (RTS), Strategy",4.7,41460,google
1195,Chrono Ma:Gia,2018-04-09,,Strategy,3.4,2684,google
1217,Paperama,2014-07-26,,Puzzle,4.6,2505851,google
1218,Warzone,2017-11-13,,Strategy,4.3,20931,google
1227,Stickmen Empire,2018-05-30,,"Indie, Strategy, Turn-based strategy (TBS)",3.2,30,google
1234,Alien Shooter,2003-09-14,,"Indie, Role-playing (RPG), Shooter",4.5,3844,google
1236,JYDGE,2017-10-01,,"Indie, Role-playing (RPG), Shooter, Simulator, Strategy",4.7,597,google
1239,Lyrica,2017-01-01,,Music,4.6,8530,google
1246,Total War Battles: Kingdom,2015-04-09,Sega,"Real Time Strategy (RTS), Strategy",4.1,59917,google
1248,A Planet of Mine,2017-07-11,,"Indie, Simulator, Strategy",4.0,10927,google
1251,WWE Universe,2019-05-28,,Unknow,4.0,52847,google
1252,Love You To Bits,2016-02-25,,"Adventure, Indie, Point-and-click, Puzzle",4.3,433,google
1254,Leap Leap Leap,2013-09-19,,"Adventure, Simulator",4.1,8,google
1262,Talisman: Origins,2019-05-16,,"Indie, Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.0,118,google
1270,To the Moon,2011-11-01,,"Adventure, Indie, Role-playing (RPG)",4.6,3164,google
1272,A Girl Adrift,2017-07-08,,Role-playing (RPG),4.5,208841,google
1276,Call of Duty: Mobile,2019-05-14,,Shooter,4.5,8634175,google
1279,7 years from now,2017-08-06,,Adventure,4.6,103689,google
1283,Slayaway Camp,2016-08-29,,"Indie, Puzzle, Strategy",4.3,12968,google
1287,The Birdcage,2018-01-01,,Puzzle,4.2,13453,google
1289,Block Blast,2019-01-01,,Puzzle,4.6,27,google
1291,But You Seem Fine,2019-05-12,,"Adventure, Indie, Role-playing (RPG), Simulator, Visual Novel",4.7,60,google
1295,Wheel of Wealth 3D,2018-12-15,,"Arcade, Indie, Puzzle",3.4,5,google
1300,Torque Burnout,2015-09-30,,"Arcade, Racing",4.2,257754,google
1307,Timun Mas and Green Giants,2018-04-17,,Puzzle,5.0,11,google
1308,Delver,2013-09-06,,"Adventure, Indie, Role-playing (RPG), Strategy",4.0,5686,google
1313,Friday the 13th: Killer Puzzle,2018-01-19,,"Indie, Puzzle, Strategy",4.0,200475,google
1314,Five Nights at Freddy's,2014-08-08,,"Adventure, Indie, Point-and-click, Simulator, Strategy",4.6,114539,google
1326,Altered Beast,1988-08-01,Sega,"Hack and slash/Beat 'em up, Platform",4.1,10326,google
1334,black,2018-09-27,,"Indie, Puzzle",4.6,31524,google
1343,The Horus Heresy: Legions,2018-07-26,,Strategy,4.6,18230,google
1349,Tornado,2018-07-25,,Indie,4.8,17,google
1355,Oxenfree,2016-01-15,,"Adventure, Indie, Role-playing (RPG)",4.5,1426,google
1361,Lifeline: Flatline,2016-10-25,,"Adventure, Indie",4.4,688,google
1381,Adelantado Trilogy: Book Three,2015-01-13,,"Adventure, Simulator, Strategy",3.7,1818,google
1393,Lonely One : Hole-in-one,2015-10-29,,Sport,4.3,10864,google
1399,Alien Creeps,2014-06-24,,Strategy,4.5,822201,google
1401,QuizUp,2013-11-07,,Quiz/Trivia,4.1,719559,google
1410,Asteroid Shooter VR,2017-06-06,,"Arcade, Shooter",4.1,11,google
1420,Ailment,2019-05-09,,"Adventure, Indie, Shooter",4.5,17010,google
1422,Candy Crush Soda Saga,2014-05-01,,"Arcade, Puzzle",4.6,7498825,google
1423,Doors: Awakening,2019-11-01,,Puzzle,4.2,11778,google
1425,RGB Express,2014-09-12,,Arcade,4.6,140849,google
1426,You Must Build A Boat,2015-06-04,,"Indie, Puzzle, Role-playing (RPG), Strategy",4.6,10015,google
1430,PolitiTruth,2017-01-01,,Quiz/Trivia,3.1,42,google
1431,Snake Blast!,2019-02-08,,"Arcade, Indie",3.8,877,google
1437,Monument Valley,2014-04-03,,"Adventure, Puzzle",4.8,223859,google
1443,Ice Rage,2011-12-14,,Sport,3.9,5202,google
1447,Battle Souls,2018-08-29,,"Indie, Role-playing (RPG), Strategy, Tactical",4.2,21325,google
1452,Two Dots,2014-05-29,,"Indie, Puzzle",4.5,778672,google
1453,Bloons Adventure Time TD,2018-08-30,,Strategy,4.2,45690,google
1457,Broken Sword 5: The Serpent's Curse,2013-01-01,,"Adventure, Point-and-click",4.4,5254,google
1458,Tank Hero,2011-05-31,,"Arcade, Puzzle",4.3,431963,google
1463,CSR Racing 2,2015-12-07,,"Arcade, Racing",4.6,4045935,google
1472,SpellForce: Heroes & Magic,2019-04-26,,"Tactical, Turn-based strategy (TBS)",3.3,446,google
1476,Evhacon 2,2016-12-15,,Role-playing (RPG),3.2,37,google
1491,Kickerinho,2014-07-17,,Sport,4.4,118582,google
1493,Crusade Runner,2017-07-06,,"Adventure, Platform",4.6,9,google
1500,Ares Virus,2018-12-18,,Role-playing (RPG),4.0,14561,google
1511,Hollywhoot,2018-08-16,,Unknow,3.6,1857,google
1521,LYNE,2014-01-01,,"Indie, Puzzle",4.7,3142,google
1526,yellow,2017-05-04,,"Indie, Puzzle",4.7,68509,google
1530,Bridge Constructor Portal,2017-12-20,,"Puzzle, Simulator, Strategy",4.5,9249,google
1534,Invaders Inc. - Alien Plague,2016-01-27,,"Simulator, Strategy",2.4,6315,google
1535,Postknight,2017-02-09,,"Indie, Role-playing (RPG)",4.8,296435,google
1538,Goat Simulator: Waste of Space,2016-05-26,,"Adventure, Simulator",4.0,5581,google
1543,Pokémon Trading Card Game Online,2011-03-24,,"Adventure, Strategy, Turn-based strategy (TBS)",4.1,105032,google
1546,Star Wars: Knights of the Old Republic,2003-07-15,,"Adventure, Role-playing (RPG)",4.3,45759,google
1550,Avabel Online,2013-02-04,,"Real Time Strategy (RTS), Role-playing (RPG), Strategy",4.2,448171,google
1558,Glory Ages - Samurais,2018-10-09,,Fighting,4.5,62851,google
1570,Pocket Troops,2014-01-01,,"Fighting, Indie",4.3,378253,google
1571,Castle Story,2012-11-07,,Simulator,3.8,56851,google
1579,S.O.L: Stone of Life EX,2013-06-24,,"Adventure, Role-playing (RPG)",4.3,184257,google
1581,PBA Bowling Challenge,2013-01-16,,"Arcade, Sport",4.5,265735,google
1585,Bean's Quest,2012-02-12,,Platform,4.6,638,google
1590,Asphalt 9: Legends,2018-02-26,,Racing,4.5,1461949,google
1592,Dissidia Final Fantasy Opera Omnia,2017-02-01,Square Enix,"Adventure, Fighting, Role-playing (RPG)",4.2,47501,google
1598,Duel Quiz,2012-07-05,,Quiz/Trivia,3.7,366578,google
1603,Star Trek Fleet Command,2018-11-29,,"Role-playing (RPG), Strategy",4.1,170442,google
1605,Max Payne Mobile,2012-04-12,,Arcade,4.3,34658,google
1616,Five Nights at Freddy's: Sister Location,2016-10-07,,"Indie, Point-and-click, Simulator",4.3,22815,google
1620,Holedown,2018-07-25,,Arcade,4.5,842,google
1621,Columns 2048: Match 3 Numbers,2019-01-11,,Puzzle,4.4,7,google
1622,Spongebob Moves In,2013-06-06,,"Adventure, Simulator",4.0,74981,google
1630,Dandara,2018-02-06,,"Adventure, Indie, Platform",4.8,1388,google
1637,Dead Zed,2012-02-09,,"Arcade, Indie",4.0,23247,google
1644,The Walking Dead: Season One,2012-04-24,,"Adventure, Point-and-click",4.5,1251394,google
1657,Otogi: Spirit Agents,2016-06-15,,Strategy,4.4,91213,google
1688,Void Tyrant,2019-06-27,,Strategy,4.2,18079,google
1695,Soap Dodgem,2018-04-19,,"Indie, Puzzle",4.7,36,google
1698,NBA 2K Mobile Basketball,2018-04-04,,"Simulator, Sport",4.1,46153,google
1701,War Robots,2014-04-15,,Arcade,4.3,3986622,google
1721,Rolly Rolly,2017-12-15,,Puzzle,3.7,35,google
1732,Dot Hopper,2017-07-24,,"Arcade, Indie",5.0,7,google
1737,Battle for Polytopia,2016-02-04,,"Indie, Simulator, Strategy, Turn-based strategy (TBS)",4.4,150121,google
1751,ATOMS!,2018-08-30,,Arcade,4.9,43,google
1756,Gun Priest,2019-01-21,,Arcade,3.5,101,google
1760,ROBLOX,2006-09-01,,"Adventure, Simulator",4.4,13132108,google
1766,Sonic The Hedgehog Classic,2013-05-15,Sega,Arcade,4.2,200002,google
1768,Shin Megami Tensei: Liberation Dx2,2018-01-22,Sega,Role-playing (RPG),4.4,25347,google
1775,Unblock Gem,2017-05-28,,Puzzle,4.6,26,google
1777,The King of Fighters All-Star,2019-07-26,Netmarble,Hack and slash/Beat 'em up,3.7,165592,google
1779,Temp Name - Customizable Space Shooter,2018-03-17,,Arcade,4.9,13,google
1782,Upgrade the game 2,2015-09-19,,Shooter,4.3,7403,google
1793,Hidden my game by mom 2,2017-01-04,,"Adventure, Point-and-click, Puzzle",4.4,64304,google
1794,Pinball Deluxe,1995-01-01,,Strategy,4.1,44070,google
1801,Homo Machina,2018-05-17,,Unknow,4.4,2748,google
1803,Slash of Sword,2017-10-25,,Fighting,4.1,34588,google
1805,Yet Another Pixel Dungeon,2016-11-29,,Role-playing (RPG),4.4,5610,google
1807,Antares,2017-10-05,,Visual Novel,4.8,849,google
1811,Eternal Card Game,2018-11-15,,"Puzzle, Strategy",3.9,10953,google
1817,Crossy Road,2014-10-24,,Arcade,4.6,4406283,google
1822,Cube Escape: Birthday,2016-02-01,,"Adventure, Puzzle",4.8,41844,google
1824,WordWhizzle Search,2016-06-08,,Puzzle,4.6,172644,google
1834,Smash Hit,2014-02-25,,"Adventure, Arcade, Indie, Platform",4.5,4460883,google
1836,Mushroom Wars 2,2016-10-13,,"Indie, Strategy",4.0,50298,google
1837,Ninja Dude vs Zombies 2 — endless slay 'em all,2019-04-08,,"Arcade, Hack and slash/Beat 'em up, Indie",4.2,13,google
1842,Motorsport Manager Mobile 2,2017-07-13,,"Racing, Simulator, Sport",4.4,12080,google
1858,Arcane Quest 3,2016-06-29,,"Role-playing (RPG), Turn-based strategy (TBS)",4.2,8787,google
1865,Vignettes,2017-04-20,,"Adventure, Indie, Puzzle",4.6,295,google
1866,Unlit - Side Scrolling Arcade,2019-07-26,,"Adventure, Arcade, Indie, Platform, Point-and-click",3.1,106,google
1876,Interference,2010-06-28,,Unknow,4.3,95,google
1890,Modern Combat 5: Blackout,2014-07-01,,Shooter,4.1,3312868,google
1891,Cartoon Network Arcade,2019-09-16,,Arcade,4.0,5239,google
1901,ZigZag Fidget,2018-01-25,,Arcade,4.9,61,google
1902,Doodle Jump,2009-04-06,,Platform,4.5,1117274,google
1903,Arcane Quest 2,2014-11-13,,"Role-playing (RPG), Turn-based strategy (TBS)",4.4,11188,google
1913,Brew Town,2018-04-19,,Simulator,4.2,6520,google
1920,Final Fantasy: Record Keeper,2014-09-24,Square Enix,Role-playing (RPG),4.4,156566,google
1923,Pokémon Shuffle,2015-02-18,,Puzzle,4.4,294297,google
1935,SpellKeeper,2018-04-03,,"Indie, Strategy",4.6,67,google
1936,Goat Simulator PAYDAY,2016-01-14,,"Adventure, Simulator",4.3,4587,google
1943,Stickman Base Jumper,2019-01-01,,Arcade,4.2,278592,google
1947,Drag n Merge Numbers,2019-12-01,,Puzzle,3.0,5,google
1948,Arctic Cat Extreme Snowmobile Racing,2016-03-03,,"Racing, Sport",4.4,7066,google
1951,PUBG Mobile,2018-03-19,Tencent,"Shooter, Strategy",4.4,28318156,google
1974,Airavat,2017-09-01,,"Adventure, Indie",4.7,19,google
1975,The Battle Cats,2014-11-05,,Strategy,4.5,303864,google
1976,Sonic Jump,2012-10-18,Sega,"Arcade, Platform",3.8,9314,google
1982,Rico: A Tale Of Two Brothers,2012-01-01,,Platform,4.7,463,google
1984,AaaaaAAaaaAAAaaAAAAaAAAAA!!! Force = Mass x Acceleration,2012-02-29,,"Indie, Simulator, Sport",3.8,2030,google
1990,Agar.io,2015-04-28,,"Indie, Strategy",4.0,3992393,google
1992,Portal Knights,2017-05-18,,"Adventure, Indie, Role-playing (RPG)",4.1,8457,google
2011,Flipflop Solitaire,2017-11-09,,Unknow,4.1,1367,google
2016,Lifeline: Halfway to Infinity,2016-12-11,,"Adventure, Indie",4.3,1625,google
2026,Thimbleweed Park,2017-03-30,,"Adventure, Indie, Point-and-click, Puzzle",4.7,3109,google
2030,Implosion - Never Lose Hope,2015-04-08,,"Hack and slash/Beat 'em up, Role-playing (RPG)",3.9,280240,google
2036,Golf Battle,2018-11-02,,Sport,4.1,408288,google
2041,Rocket Mouse,2018-12-01,,Puzzle,5.0,6,google
2046,Kill or Love,2019-08-17,,"Indie, Visual Novel",4.8,49,google
2049,Love Live! School Idol Festival,2013-04-16,,Music,4.4,161521,google
2050,Hungry Shark Evolution,2012-10-24,Ubisoft,Arcade,4.4,6766924,google
2056,Calculords,2014-02-21,,Turn-based strategy (TBS),4.4,2297,google
2075,Tiny Time Travellers,2019-08-26,,"Adventure, Platform",4.2,13,google
2087,Raster Prime,2017-05-12,,Puzzle,5.0,7,google
2096,Western Guns Ep01 - Redemption,2017-05-04,,"Indie, Shooter",4.0,109,google
2098,Hidden Folks,2017-02-15,,"Adventure, Indie, Point-and-click, Puzzle",4.6,1834,google
2108,No More Buttons,2017-11-02,,"Adventure, Puzzle",4.6,38,google
2111,Theotown,2015-04-11,,"Indie, Simulator, Strategy",4.4,127465,google
2123,Stop Santa - Tower Defense,2017-12-04,,"Indie, Strategy",3.6,5,google
2125,Cube Escape: Seasons,2015-04-01,,"Adventure, Puzzle",4.7,33911,google
2134,Love Letter,2018-10-24,,Strategy,4.1,175,google
2154,Target of Desire: Episode 1,2017-05-01,,"Adventure, Hack and slash/Beat 'em up, Point-and-click",3.6,7,google
2156,Blood Bowl Tablet,2014-01-01,,"Sport, Turn-based strategy (TBS)",3.2,1332,google
2159,Burger Shop 2,2009-07-28,,"Simulator, Strategy",4.5,70154,google
2163,Jetpack Joyride,2011-09-01,,"Arcade, Platform",4.5,4841458,google
2171,Flip Trickster,2018-02-23,,Sport,3.6,78022,google
2172,"That Dragon, Cancer",2016-01-12,,"Adventure, Indie",4.4,88,google
2173,AdVenture Capitalist,2014-05-30,,"Indie, Simulator, Strategy",4.5,1533075,google
2175,Hexologic,2018-05-29,,"Indie, Puzzle, Strategy",4.6,412,google
2180,A Way To Slay,2018-08-08,,Fighting,4.2,13265,google
2191,Marenian Tavern Story: Patty and the Hungry God,2018-04-25,,"Adventure, Role-playing (RPG), Strategy",4.6,1000,google
2199,Asphalt: Xtreme,2016-10-27,,Racing,4.1,646715,google
2200,My Railroad,2018-10-11,,"Arcade, Puzzle",4.2,185,google
2204,Hey Turtle,2019-08-30,,Visual Novel,4.3,81,google
2206,Gumballs & Dungeons,2017-12-15,,"Adventure, Strategy",4.5,89305,google
2208,Star Wars: Jedi Challenges,2017-11-03,,Fighting,3.4,5160,google
2212,Warlock's Tower,2017-01-31,,"Indie, Puzzle",4.8,95,google
2213,World Tree Marché: Gourmet Story,2015-08-20,,Simulator,4.6,10723,google
2218,Catomic,2017-03-15,,Puzzle,4.6,365,google
2221,Darkness Rises,2018-06-20,Nexon,Role-playing (RPG),4.5,1317001,google
2222,Eternity Legends,2018-10-30,,"Hack and slash/Beat 'em up, Role-playing (RPG)",4.2,10196,google
2230,Welcome to Primrose Lake,2019-08-08,,"Adventure, Simulator, Strategy",4.5,8374,google
2238,Loop: the distress call,2020-02-14,,"Adventure, Indie, Visual Novel",4.8,9,google
2241,Lifeline 2,2015-11-16,,"Adventure, Indie, Tactical",4.5,5831,google
2245,BataGacha!,2017-01-27,,Unknow,4.6,52,google
2247,LONEWOLF,2016-01-06,,"Indie, Shooter",4.5,383875,google
2248,Sid Meier's Civilization Revolution 2,2014-07-02,,"Simulator, Strategy, Turn-based strategy (TBS)",3.3,14382,google
2270,Simple Rockets,2013-08-01,,"Indie, Simulator",4.3,8054,google
2271,R.B.I. Baseball 17,2017-03-28,,Sport,3.6,199,google
2274,Sneak Ops,2018-08-08,,Unknow,4.2,6290,google
2279,Skullgirls Mobile,2017-05-25,,Fighting,4.6,115235,google
2284,Warplanes: WW2 Dogfight,2018-10-16,,"Indie, Shooter",4.2,48442,google
2285,TEPPEN,2019-07-04,,"Real Time Strategy (RTS), Strategy",3.8,32855,google
2286,Sonic Dash 2: Sonic Boom,2013-03-07,Sega,"Arcade, Platform",4.2,591627,google
2294,Forge of Empires,2014-01-31,,"Real Time Strategy (RTS), Simulator, Strategy",4.4,871807,google
2299,Rock Defender,2016-12-19,,"Arcade, Indie, Tactical",4.8,417,google
2307,KIDS,2019-05-28,,"Adventure, Indie",4.2,213,google
2312,Godzilla Defense Force,2019-05-22,Nexon,Simulator,4.5,51420,google
2313,Epic Seven,2018-11-08,,Role-playing (RPG),4.1,238003,google
2314,Flying Girl Striker,2019-05-05,,Shooter,3.8,33,google
2315,Stick Fight: The Game,2017-09-28,NetEase,"Fighting, Indie, Simulator, Strategy",3.9,96553,google
2319,Burrito Bison: Launcha Libre,2012-10-04,,Arcade,4.6,468352,google
2323,UNKILLED,2015-09-03,,"Adventure, Shooter",4.4,662002,google
2326,A Boy and His Blob,2009-10-13,,"Adventure, Platform, Puzzle",3.9,75,google
2331,Crashlands,2016-01-21,,"Adventure, Indie, Role-playing (RPG), Simulator",4.6,14604,google
2348,EverHero: Wings of the Ever Hero,2017-01-01,,"Arcade, Shooter",4.1,6351,google
2356,Flappy Golf 2,2016-10-12,,"Arcade, Platform",3.4,6252,google
2357,Tick Tock: A Tale for Two,2019-03-07,,"Adventure, Indie",4.6,280,google
2358,Slaughter 2: Prison Assault,2017-11-10,,Shooter,4.0,2912,google
2361,Space Harrier II,1988-10-29,Sega,"Arcade, Shooter, Simulator, Strategy",3.7,536,google
2363,Faraway 3,2018-05-01,,Puzzle,4.4,17995,google
2368,Lightseekers,2019-01-10,,"Strategy, Tactical",3.9,5478,google
2372,Cat Lady,2018-11-06,,Unknow,4.6,339,google
2373,12 Labours of Hercules V: Kids of Hellas,2016-06-17,,"Adventure, Indie, Puzzle, Strategy",4.3,630,google
2375,Carnivores: Ice Age,2001-01-15,,"Shooter, Simulator, Sport",4.2,72400,google
2376,Age of Tribes,2010-02-10,,"Platform, Puzzle",2.7,14,google
2383,Sonny,2017-01-12,,"Adventure, Indie, Point-and-click, Racing, Role-playing (RPG), Simulator, Sport, Strategy",3.9,6799,google
2387,She Wants Me Dead,2016-05-13,,"Adventure, Indie, Music",3.2,10541,google
2391,Alto's Adventure,2015-02-19,,"Indie, Sport",4.5,571277,google
2400,Bitcoin Miner Farm: Clicker Game,2019-05-23,,"Arcade, Simulator",3.8,151,google
2409,Waiting Game,2018-12-14,,Indie,4.6,17,google
2413,Alien: Blackout,2019-01-24,,Unknow,3.9,5976,google
2417,The Room Three,2015-11-04,,"Adventure, Indie, Point-and-click, Puzzle",4.9,94895,google
2420,Okira GO - Endless 3D Platformer Runner,2019-05-16,,"Arcade, Indie, Platform",5.0,5,google
2422,Pixel Hunter,2014-02-28,,Adventure,3.9,1405,google
2436,Tactical Monsters Rumble Arena,2017-11-09,,"Adventure, Indie, Role-playing (RPG), Strategy",4.4,94808,google
2438,Super Cat Tales 2,2018-10-04,,"Indie, Platform",4.8,70763,google
2442,Bleach: Brave Souls,2015-07-23,,Hack and slash/Beat 'em up,4.4,231742,google
2444,BombSquad,2011-10-01,,"Arcade, Indie, Shooter",4.4,819010,google
2454,Trials of Harmony ~ Experimental Visual Novel,2019-08-28,,"Adventure, Indie, Visual Novel",4.6,11,google
2456,Project Zero Deaths,2019-07-17,,"Indie, Shooter",3.6,318,google
2458,Sigils of Elohim,2014-10-13,,"Indie, Puzzle, Strategy",4.5,1601,google
2465,Schemata,2018-03-05,,"Indie, Puzzle",4.2,86,google
2468,94 Seconds: category word game,2012-11-02,,Quiz/Trivia,3.7,187975,google
2470,Machine Knight,2012-06-13,,"Adventure, Role-playing (RPG)",4.4,87393,google
2473,Cube Escape: Harvey's Box,2015-06-01,,"Adventure, Puzzle",4.7,19968,google
2475,Talisman: Digital Edition,2011-03-09,,"Indie, Quiz/Trivia, Role-playing (RPG), Strategy",4.1,8671,google
2477,The Interactive Adventures of Dog Mendonça and Pizzaboy,2016-03-03,,"Adventure, Indie, Point-and-click, Puzzle",4.5,97,google
2479,Dragon Ball Legends,2018-05-21,Bandai Namco,"Arcade, Fighting",4.4,873029,google
2484,AxE: Alliance Vs Empire,2019-02-21,Nexon,Role-playing (RPG),4.1,117368,google
2488,Last Berserker: Endless War,2017-09-20,,Indie,3.8,42,google
2490,Baldur's Gate: Siege of Dragonspear,2016-03-31,,"Role-playing (RPG), Strategy",4.1,481,google
2496,Pocket Rogues,2017-11-30,,"Indie, Role-playing (RPG)",4.4,45925,google
2500,Hitman GO,2014-04-17,Square Enix,"Puzzle, Strategy, Turn-based strategy (TBS)",4.5,96909,google
2510,Goosebumps HorrorTown,2018-05-30,,Simulator,4.1,27031,google
